"RECTYPE","ORDUNIQ","CUSTOMER","ORDDATE","EXPDATE","PONUMBER","REFERENCE","POSTINV"
"RECTYPE","ORDUNIQ","LINENUM","ITEM","QTYORDERED","QTYSHIPPED","PRIUNTPRC"
"RECTYPE","ORDUNIQ","PAYMENT"
"RECTYPE","ORDUNIQ","UNIQUIFIER"
"RECTYPE","ORDUNIQ","UNIQUIFIER"
"RECTYPE","ORDUNIQ","OPTFIELD","VALUE"
"1",63978,"EDG0066","20101109",20101111,"63788097","EDG-1052","0"
"2",63978,1,"082002",1,0,90.76
"2",63978,3,"084020",1,0,90.76
"2",63978,4,"084007",1,0,382.25
"3",63978,32
"6",63978,"REP","WAREHOUSE"
"6",63978,"OPT4","INVOICE"
"1",63972,"EDG0068","20101109",20101111,"63788098","EDG-1052","0"
"2",63972,3,"082002",1,0,90.76
"2",63972,4,"152467676",1,0,213.00
"2",63972,5,"152459376",1,0,333.01
"2",63972,6,"286020",2,0,90.76
"2",63972,7,"100480",2,0,382.25
"2",63972,8,"130480",1,0,382.25
"2",63972,9,"1025546",1,0,299.75
"2",63972,10,"1025549",1,0,382.25
"2",63972,11,"027009",1,0,217.25
"2",63972,12,"027012",1,0,107.25
"2",63972,13,"279015",1,0,162.24
"2",63972,14,"279017",1,0,272.25
"2",63972,15,"153501076",1,0,213.00
"2",63972,16,"153499076",1,0,279.00
"2",63972,17,"170504577",1,0,327.25
"2",63972,18,"287016",1,0,294.25
"2",63972,20,"150480",1,0,382.25
"2",63972,21,"150680",1,0,481.25
"2",63972,22,"160480",1,0,382.25
"2",63972,23,"160680",1,0,481.25
"2",63972,24,"300480",2,0,382.25
"2",63972,25,"300680",1,0,492.25
"2",63972,26,"310480",2,0,382.25
"2",63972,27,"310680",2,0,492.25
"2",63972,28,"191479",1,0,206.25
"2",63972,29,"191288",3,0,272.24
"2",63972,30,"191289",3,0,327.25
"2",63972,31,"10016282",1,0,244.75
"2",63972,32,"10016283",4,0,299.74
"2",63972,34,"10016285",2,0,299.74
"2",63972,35,"10016286",2,0,96.24
"2",63972,37,"071104212",2,0,327.25
"2",63972,39,"07024604",2,0,327.25
"2",63972,40,"07013666",1,0,206.25
"2",63972,43,"38271576",1,0,333.01
"2",63972,44,"57354176",3,0,279.00
"2",63972,45,"57354276",1,0,333.01
"3",63972,32
